[Source Language],[Source Text],[Target Language],[Target Text],[Context Categorization Hashtags]
"English","prune","Finnish","karsia/oksia/vesoa (verbi) - luumu, kuivattu luumu. vanhentunut luumu (Substantiivit/kuvaannollinen)","#action"
"English","ascend","Finnish","nousta","#action"
"English","Ascension Day","Finnish","Helatorstai","#holiday"
"English","ascent","Finnish","nousta kiipien/ nousu/kiipeäminen/","#noun"
"English","ascetic","Finnish","askeettinen","#adjective"
"English","ashen","Finnish","tuhkanharmaa","#adjective"
"English","ashen face","Finnish","tuhkanharmaat kasvot","#noun"
"English","askance","Finnish","kieroon/epäluuloisesti","#adverb"
"English","askew","Finnish","vinossa","#adverb"
"English","aspersions","Finnish","loukkaavat puheet","#noun"
"English","assailant","Finnish","hyökkääjä","#person"
"English","assiduously","Finnish","tunnollisesti","#adverb"
"English","astir","Finnish","liikkeellä","#adverb"
"English","astrologer","Finnish","astrologi","#person"
"English","astromancy","Finnish","astromantia (tähtiennustaminen)","#noun"
"English","at full pelt","Finnish","täysillä/täyttä vauhtia","#adverb"
"English","athanor","Finnish","athanor (keskiaikainen alkemistien uuni)","#history"
"English","atonement","Finnish","sovitus","#noun"
"English","auburn","Finnish","kastanjanruskea","#adjective"
"English","audacious","Finnish","rohkea","#adjective"
"English","augur","Finnish","ennustaja","#person"
"English","augury","Finnish","ennustus","#noun"
"English","auricle","Finnish","korvalehti","#noun"
"English","auspices","Finnish","ennusteet","#noun"
"English","auspicious","Finnish","suotuisa","#adjective"
"English","austere","Finnish","ankara/karu","#adjective"
"English","avarice","Finnish","ahneus","#noun"
"English","avaricious","Finnish","ahne","#adjective"
"English","averred","Finnish","väitti/totesi","#action"
"English","avert","Finnish","välttää","#action"
"English","avert your eyes","Finnish","käännä katseesi pois","#action"
"English","awry","Finnish","vinossa","#adverb"
"English","bailey","Finnish","bailey (linnoituksen piha-alue)","#history"
"English","bailiff","Finnish","vouti","#person"
"English","balderdash","Finnish","pötypuhe/hölynpöly","#noun"
"English","balefully","Finnish","pahantahtoisesti","#adverb"
"English","balustrade","Finnish","kaide","#noun"
"English","bandied","Finnish","banded","#adjective"
"English","bandy","Finnish","pyöreä","#adjective"
"English","bane","Finnish","turmio","#noun"
"English","banns","Finnish","vihkijulistus","#noun"
"English","bantering","Finnish","lasketteleva/leikkisä naljailu","#noun"
"English","barberry","Finnish","happomarjapensas","#noun"
"English","barber-surgeon (non?academic medical practitioner, skilled but not formally educated)","Finnish","parturi-kirurgi","#noun #person #profession #history #medicine #nonAcademic"
"English","barbican","Finnish","barbican (etuportti)","#history"
"English","barded","Finnish","panssaroitu","#adjective"
"English","barded arrowheads at","Finnish","päällystetyt nuolenpäät","#noun"
"English","barn","Finnish","aitta","#noun"
"English","barnyard","Finnish","pihamaa","#noun"
"English","barricade","Finnish","tukikohta","#noun"
"English","barter","Finnish","vaihtokauppa","#noun"
"English","basalt slab","Finnish","basalttilaatta","#noun"
"English","basilica","Finnish","basilika (kirkko tai julkinen rakennus)","#history"
"English","bast","Finnish","niini","#noun"
"English","bastion","Finnish","linnoitus","#noun"
"English","batiste scarf","Finnish","batistihuivi (ohut puuvillakangas)","#noun"
"English","baton","Finnish","sauva/kapula/tahtipuikko","#noun"
"English","bawl","Finnish","parkua/huutaa kovaa","#action"
"English","bay","Finnish","erkkeri","#noun"
"English","bay mare","Finnish","ruunikko tamma","#noun"
"English","bay window","Finnish","erkkeri-ikkuna","#noun"
"English","be budged from it","Finnish","suostua liikahtamaan siitä/antaa periksi","#action"
"English","beadle","Finnish","kirkonvartija","#person"
"English","beak","Finnish","nokka","#noun"
"English","bearings","Finnish","laakerit","#noun"
"English","bedaubed eyes","Finnish","sivellyt/sotketut silmät","#noun"
"English","bedecked","Finnish","koristeltu","#adjective"
"English","beech","Finnish","pyökki","#noun"
"English","beech tree","Finnish","pyökkipuu","#noun"
"English","beet-like roots","Finnish","punajuuren kaltaiset juuret","#noun"
"English","befuddled","Finnish","hämmentynyt","#adjective"
"English","beget","Finnish","tuottaa","#action"
"English","beguile","Finnish","huijata","#action"
"English","behoof","Finnish","hyöty","#noun"
"English","beldam","Finnish","vanha akka","#person"
"English","bellow","Finnish","mylviä/karjua","#action"
"English","bemoan","Finnish","valittaa","#action"
"English","benediction","Finnish","siunaus","#noun"
"English","benign","Finnish","hyväntahtoinen","#adjective"
"English","bereft","Finnish","menetetty","#adjective"
"English","beringed","Finnish","rengastettu","#adjective"
"English","berth","Finnish","paikka (laivassa tai junassa)","#noun"
"English","beseech","Finnish","anella","#action"
"English","besiege","Finnish","saartaa","#action"
"English","betroth","Finnish","kihlata","#action"
"English","bezoar","Finnish","bezoaari","#noun"
"English","bezoars","Finnish","bezoarit","#noun"
"English","bight","Finnish","lahti","#noun"
"English","billet","Finnish","majoittaa","#action"
"English","billowed","Finnish","hulmusi","#adjective"
"English","bitter melon stewed","Vietnamese","m??p ??ng h?m","#noun"
"English","jewish","Vietnamese","ng??i Do Thái","#adjective"
"English","blasphemy law","Vietnamese","lu?t báng b?","#noun"
"English","bivouac","Finnish","leiri","#noun"
"English","bivouacs","Finnish","bivuakit (tilapäiset leirit)","#noun"
"English","black-bereted","Finnish","musta baretti","#adjective"
"English","blackguard","Finnish","roisto","#noun"
"English","blacksmith","Finnish","seppä","#noun"
"English","blanch","Finnish","kalveta","#action"
"English","blanched","Finnish","kalpea","#adjective"
"English","blanching slightly","Finnish","kalpeni hieman","#adjective"
"English","blather","Finnish","höpöttää","#action"
"English","bleak","Finnish","karu","#adjective"
"English","blistered","Finnish","rakkulainen","#adjective"
"English","blistering pain","Finnish","rakkulainen kipu","#noun"
"English","blithe","Finnish","huoleton","#adjective"
"English","blood-gorged louse","Finnish","verentäyteinen täi","#noun"
"English","bluff","Finnish","jyrkänne","#noun"
"English","bluish shadow","Finnish","sinertävä varjo","#noun"
"English","boasted","Finnish","kehuskeli/kerskaili","#action"
"English","bode","Finnish","ennustaa","#action"
"English","bodge","Finnish","sählätä/tehdä huolimattomasti","#action"
"English","bodice","Finnish","päälikkö","#noun"
"English","bodkin","Finnish","piikki/ohut tikari","#noun"
"English","bog","Finnish","suo","#noun"
"English","bombastic","Finnish","mahtipontinen","#adjective"
"English","boon","Finnish","etu","#noun"
"English","boorish","Finnish","törkeä","#adjective"
"English","bootlaces","Finnish","kengännauhat","#noun"
"English","booty","Finnish","saalis","#noun"
"English","booty","Finnish","saalis/ryöstösaalis/pullea peppu","#noun"
"English","borscht","Finnish","borssikeitto","#noun"
"English","bosom","Finnish","rinta","#noun"
"English","bosun","Finnish","perämies","#noun"
"English","bough","Finnish","oksa","#noun"
"English","boughs","Finnish","oksia","#noun"
"English","boughs","Finnish","oksat","#noun"
"English","boulder","Finnish","lohkare","#noun"
"English","bovine","Finnish","lehmämäinen/nautamainen","#adjective"
"English","bovine","Finnish","nautamainen","#adjective"
"English","bowe","Finnish","jousi","#noun"
"English","braced himself against his pommel","Finnish","tukien itsensä satulaan","#expression #action #horse"
"English","bracing","Finnish","piristävä/virkistävä","#adjective"
"English","bracken","Finnish","sananjalka","#noun"
"English","brambles","Finnish","karhunvatukat/Rubus-piikkipensaita","#noun"
"English","brandished","Finnish","heilutti (asetta)","#action"
"English","brandishing","Finnish","heilauttamassa/heiluttaminen/huiskiminen/liehuttaminen","#action"
"English","brass","Finnish","messinki","#noun"
"English","brawling","Finnish","tappelua/riitaa","#noun"
"English","brazen","Finnish","röyhkeä","#adjective"
"English","breach","Finnish","rikkomus","#noun"
"English","briar","Finnish","orjantappura","#noun"
"English","bridle","Finnish","ohjat","#noun"
"English","bridled","Finnish","suitset","#adjective"
"English","brigand","Finnish","rosvo/merirosvo/kavaltaja","#noun"
"English","brimmed over","Finnish","reunan yli","#action"
"English","brindled","Finnish","kirjava","#adjective"
"English","bristle","Finnish","harjas/karva (eläimen karva)","#noun"
"English","bristles","Finnish","harjakset/karvat (eläimen karvat)","#noun"
"English","bristling","Finnish","harjakset","#adjective"
"English","bristly chops","Finnish","karvaiset posket","#adjective"
"English","britches","Finnish","housut","#noun"
"English","broach","Finnish","aloittaa keskustelu","#action"
"English","brocade","Finnish","brokadi (kallis kangas)","#noun"
"English","brodace canopy","Finnish","brodace-katos (keskiaikainen katos)","#noun"
"English","brook","Finnish","puro","#noun"
"English","brooked","Finnish","puroinen","#adjective"
"English","brow","Finnish","otsa","#noun"
"English","brow of the hill","Finnish","kukkulan harja","#noun"
"English","brunt","Finnish","päävaikutus","#noun"
"English","brusquesly","Finnish","tylysti (brusquely)","#adverb"
"English","bryony roots","Finnish","mustajuuren juuret/bryonia-juuret","#noun"
"English","buccaneer","Finnish","merirosvo","#noun"
"English","buck","Finnish","pukki","#noun"
"English","buckle under","Finnish","antaa periksi","#action"
"English","buffet","Finnish","lyödä/täräyttää","#action"
"English","buffoon","Finnish","koomikko/hölmöilijä","#noun"
"English","bugger","Finnish","veijari","#noun"
"English","bugger","Finnish","paskiainen","#noun"
"English","bulbous","Finnish","sipulimainen","#adjective"
"English","bulged in","Finnish","pullistui sisäänpäin","#action"
"English","bulrushes","Finnish","järvikaislat/osmankäämit","#noun"
"English","bulwark","Finnish","linnoitus","#noun"
"English","burly","Finnish","roteva/jykevä","#adjective"
"English","burrowing","Finnish","kaivautuminen","#action"
"English","bushels","Finnish","bušeli (mitta noin 36 litraa)","#noun"
"English","bustling","Finnish","kiireellisesti tohinainen","#adjective"
"English","but the colt was mild-mannered","Finnish","mutta varsan luonne oli lempeä","#phrase #horse"
"English","butler","Finnish","hovimestari","#noun"
"English","buttocks","Finnish","pakarat","#noun"
"English","by the ruff","Finnish","kauluksesta kiinni","#action"
"English","byre","Finnish","navetta","#noun"
"English","cabbalistic","Finnish","kaballistinen/salatieteellinen","#adjective"
"English","cabochon","Finnish","kapussi","#noun"
"English","cadaverous","Finnish","ruumiinomainen","#adjective"
"English","cairn","Finnish","kiviröykkiö/keko (kivikasa)","#noun"
"English","cairns (Pile of stones)","Finnish","Kumpu/hautaröykkiö/kiviröykkiö","#noun #burial #geography"
"English","caitiff","Finnish","pelkurimainen","#adjective"
"English","calamity","Finnish","katastrofi/onnettomuus/vahinko/murhe","#noun"
"English","callow","Finnish","kokenematon","#adjective"
"English","calumny","Finnish","herjaus/loukkaus","#noun"
"English","calves","Finnish","vasikat/pohkeet (kontekstit: nuoret lehmät/säären osa)","#noun"
"English","camarilla","Finnish","kamarilla (pieni salainen ryhmä vaikutusvaltaisia henkilöitä)","#noun #politics"
"English","cameo","Finnish","kameo","#noun"
"English","candelabras","Finnish","kyntteliköt","#noun"
"English","cane","Finnish","nyrkki/käpy","#noun"
"English","canker","Finnish","haava","#noun"
"English","canteen","Finnish","ruokala/kanttiini/kenttäruokala/kenttäateria","#noun"
"English","canter","Finnish","kenttäpullo","#noun"
"English","cantle","Finnish","satulan selkämyksen takaosa","#noun"
"English","caparison","Finnish","koristella","#action"
"English","caparisoned","Finnish","koristeltu","#adjective"
"English","capitulation","Finnish","kapitulointi (antautuminen)","#noun"
"English","carapace","Finnish","kuori","#noun"
"English","carapace","Finnish","kuori","#noun"
"English","carnage","Finnish","teurastus/verilöyly","#noun"
"English","carotid artery","Finnish","kaulavaltimo","#noun"
"English","carouse","Finnish","juopottelu","#action"
"English","carousing","Finnish","juhliminen","#action"
"English","casement","Finnish","ikkunaluukku","#noun"
"English","casement window","Finnish","ikkunaluukkuikkuna","#noun"
"English","castellan","Finnish","kastelliini (linnan päällikkö)","#noun"
"English","cataract","Finnish","vesiputous","#noun"
"English","cauldron","Finnish","kattila","#noun"
"English","cavorting","Finnish","kirmailla/telmiä","#action"
"English","cawing","Finnish","kakkaileminen/kakkailu","#action"
"English","cedars","Finnish","setrit","#noun"
"English","chafe","Finnish","hankaantua","#action"
"English","chaff from his eyes","Finnish","akanat hänen silmistään (kuin 'suomukset putosivat')","#noun"
"English","chaffing","Finnish","pilailu","#action"
"English","chamberlain","Finnish","kamreeri (hovin talousjohtaja)","#noun"
"English","chamois","Finnish","kivikauris","#noun"
"English","charred","Finnish","hiiltynyt","#adjective"
"English","charred stockade","Finnish","hiiltynyt paaluaita","#noun"
"English","chary","Finnish","varovainen","#adjective"
"English","chasm","Finnish","kuilu","#noun"
"English","chattels","Finnish","irtaimisto","#noun"
"English","chequered","Finnish","ruudullinen","#adjective"
"English","chiaroscuro","Finnish","valon ja varjon kontrasti","#noun"
"English","chide","Finnish","nuhtella/moittia","#action"
"English","chimera","Finnish","khimera/sekoitus/illuusio/harhakuva/unelma","#noun"
"English","chirruping","Finnish","viserrys","#action"
"English","choleric","Finnish","kiukkuinen","#adjective"
"English","chrysoberyls","Finnish","krysoberyllit/kultaberyllit (jalokivi)","#noun"
"English","chub (fish)","Finnish","turpa (kala)","#noun"
"English","churl","Finnish","törppö","#noun"
"English","churlish","Finnish","törkeä/äksy","#adjective"
"English","citadel","Finnish","linnoitus","#noun"
"English","clachan","Finnish","kylä (erityisesti skotlantilainen)","#noun"
"English","clairvoyant","Finnish","selvänäköinen/selvänäkijä","#noun"
"English","clamber","Finnish","kiivetä","#action"
"English","clambered up","Finnish","kiipesi ylös","#action"
"English","clamour","Finnish","meteli/hälinä","#noun"
"English","clandes","Finnish","klaanien","#noun"
"English","clandestinely","Finnish","salaisesti/salassa","#adverb"
"English","clapboard","Finnish","laudoitus","#noun"
"English","clatter","Finnish","kolina","#noun"
"English","claymore","Finnish","claymore (kaksiteräinen skotlantilainen miekka)","#noun"
"English","cleaves","Finnish","halkoo/takertuu (kontekstista)","#action"
"English","cling to","Finnish","kiinnittyä johonkin/pitää kiinni jostakin","#action"
"English","cloister","Finnish","luostari","#noun"
"English","cloth-headed","Finnish","tyhmä/pölkkypää","#adjective"
"English","clotted pus","Finnish","hyytynyt mäti","#noun"
"English","clout","Finnish","vaikutusvalta","#noun"
"English","cloying","Finnish","tukahduttava","#adjective"
"English","clucking","Finnish","kalkatus/kotkottaminen","#action"
"English","clutches","Finnish","otteet (kourat)","#noun"
"English","coadjutor","Finnish","adjuutori","#noun"
"English","coarse britches","Finnish","karkeat housut","#noun"
"English","cochineal","Finnish","kokenilli tai kokenillikirva. Kirvasta saatava väriaine (karmiini)","#noun"
"English","cockatrice","Finnish","kokatris (myyttinen olento, jolla on käärmeen ruumis ja kukon pää)","#noun"
"English","coif","Finnish","päähine","#noun"
"English","coition","Finnish","yhdyntä","#noun"
"English","collared","Finnish","kaulittu/pidätetty/otettu kiinni","#adjective"
"English","colonnade","Finnish","sarakkeet","#noun"
"English","coltsfoot","Finnish","vuohenputki","#noun"
"English","comely","Finnish","sievä","#adjective"
"English","comely","Finnish","hauskannäkoinen","#adjective"
"English","comeuppance","Finnish","ansaittu rangaistus","#noun"
"English","commandant","Finnish","komendantti","#noun"
"English","commence","Finnish","aloittaa","#action"
"English","common","Finnish","yhteismaa (common land)","#noun"
"English","compel","Finnish","pakottaa","#action"
"English","comport","Finnish","käyttäytyä","#action"
"English","concealed","Finnish","kätketty/piilotettu","#adjective"
"English","concierge","Finnish","portieeri","#noun"
"English","concur","Finnish","olla samaa mieltä","#action"
"English","condescend","Finnish","alentua","#action"
"English","condole","Finnish","osallistua suruun","#action"
"English","coney","Finnish","kartio","#noun"
"English","confidant","Finnish","uskottu","#noun"
"English","conflagration","Finnish","suurpalo/tulipalo","#noun"
"English","congealed","Finnish","jähmettynyt","#adjective"
"English","conjure","Finnish","loitsia","#action"
"English","connotation","Finnish","konnotaatio","#noun"
"English","conscientiousness","Finnish","tunnollisuus","#noun"
"English","consign","Finnish","toimittaa","#action"
"English","consommé","Finnish","consommé (selkeä lihaliemi)","#noun"
"English","consorted with","Finnish","oli tekemisissä/seurusteli","#action"
"English","conspicuous","Finnish","huomattava","#adjective"
"English","constable","Finnish","konstaapeli","#noun"
"English","consternation","Finnish","hämmästys","#noun"
"English","contempt","Finnish","halveksunta","#noun"
"English","contorted","Finnish","vääntyneet","#adjective"
"English","contorting","Finnish","vääristävä","#action"
"English","contumely","Finnish","halventava kohtelu","#noun"
"English","conynhaela","Finnish","conynhaela (The Witcher -maailman kasviuute)","#fantasy #fiction"
"English","copromancer","Finnish","kakkanäkijä","#noun"
"English","copse","Finnish","metsikkö","#noun #forest #nature"
"English","coracle","Finnish","korakki (pieni pyöreä vene)","#noun #water #boat"
"English","cormorant","Finnish","merimetso","#noun #bird"
"English","cornets and pages were getting under each other's feet","Finnish","torvensoittajat ja sivupojat astelivat toistensa tielle","#phase #action #medieval #festival"
"English","coronet","Finnish","pieni kruunu","#noun"
"English","corpulence","Finnish","pyöreys","#noun"
"English","corrigendum","Finnish","korjattava virhe","#noun"
"English","corsair","Finnish","merirosvo","#noun"
"English","corset","Finnish","korsetti","#noun"
"English","cot","Finnish","vauvansänky/lasten sänky","#noun"
"English","coterie","Finnish","piiri","#noun #socialGroup"
"English","cottage","Finnish","tupa","#noun #house #building"
"English","couched lances","Finnish","alas suunnatut peitset (ratsastustaistelussa)","#description #action #weapon #medieval"
"English","counsel","Finnish","neuvonta/neuvo","#action"
"English","countenance","Finnish","kasvot/ilme/hyväksyntä (kontekstista)","#noun"
"English","courtyard","Finnish","piha","#noun"
"English","cove","Finnish","lahti","#noun"
"English","covenant","Finnish","sopimus","#noun"
"English","covetous","Finnish","ahne","#adjective"
"English","cowherd","Finnish","karjapaimen","#noun"
"English","coxswain","Finnish","perämies","#noun"
"English","crag","Finnish","jyrkänne","#noun"
"English","craggy","Finnish","kallioinen","#adjective"
"English","craven","Finnish","pelkuri","#adjective"
"English","crayfish","Finnish","rapu","#noun #nature #freshwater #crustacean"
"English","credence","Finnish","uskottavuus","#noun #abstract #trust"
"English","credence","Finnish","uskottavuus/luottamus","#noun #abstract #trust"
"English","creed","Finnish","usko","#noun #religion"
"English","creek","Finnish","puro","#noun #geography #nature"
"English","creel","Finnish","kalastuskorikassi","#noun #fishing"
"English","crescent","Finnish","puolikuu","#noun #adjective #nature #astronomy"
"English","cresset","Finnish","kressi","#noun #history #medieval"
"English","crestfallen","Finnish","masentunut","#adjective"
"English","crevice","Finnish","halkeama","#noun #geology"
"English","crib","Finnish","vauvan sänky","#noun #childhood #bed"
"English","cribbage board","Finnish","cribbage-lauta (korttipeli)","#noun"
"English","cringe at","Finnish","värähtää inhosta/hävetä","#action"
"English","cromlechs (Stone circle)","Finnish","Kivikehä","#noun #archaeology #stone #circle #burial"
"English","crossbowman","Finnish","jousimies/ristijousimies","#noun"
"English","crossguard","Finnish","väistinsuoja (miekan)","#noun"
"English","crotch","Finnish","haara/haarukka/haaroittuminen","#noun"
"English","crouch","Finnish","kyykistyä","#action"
"English","croup","Finnish","kurkkumätä/lavantauti (ark.)/röhkä (hevosilla)","#noun"
"English","crowbar","Finnish","sorkkarauta","#noun"
"English","crozier","Finnish","piispan sauva","#noun"
"English","crusty","Finnish","kova kuorinen/äreä","#adjective"
"English","cudgel","Finnish","nuija","#noun"
"English","cuff","Finnish","hihansuu","#noun"
"English","cuirass","Finnish","rintapanssari","#noun"
"English","culprit","Finnish","syyllinen","#noun"
"English","cupbearer","Finnish","maljan kantaja","#noun"
"English","cupidity","Finnish","ahneus","#noun"
"English","cur came scuttling out","Finnish","koira juoksi ulos","#action"
"English","curmudgeon","Finnish","äksyilijä/katkera vanha mies","#noun"
"English","curmudgeonly","Finnish","äksyilevä/törkeä","#adjective"
"English","curtseyed","Finnish","kumarsi","#action"
"English","curtsied","Finnish","niiattu","#action"
"English","curtsy","Finnish","kumarrus/kumartaa","#action"
"English","curvaceous","Finnish","kurvikas","#adjective"
"English","cut a caper","Finnish","hypätä iloisesti/leikkiä/temppuilla","#action"
"English","cutpurse","Finnish","taskuvarkas/lompakkovaras","#noun"
"English","dabbles","Finnish","harrastaa kevyesti/sotkeutuu johonkin","#action"
"English","dangling","Finnish","riiputtaa/roikkua","#action"
"English","dapifer","Finnish","dapifer (keskiaikainen hovipalvelija)","#noun"
"English","dauntless","Finnish","peloton","#adjective"
"English","dearth","Finnish","puute","#noun"
"English","debauch","Finnish","turmella/moraalinen rappio/hullutus","#action"
"English","debauched","Finnish","turmeltunut/irstaileva","#adjective"
"English","debauchery","Finnish","turmelus, irstaus","#noun"
"English","decathlon","Finnish","kymmenottelu","#noun"
"English","decisive","Finnish","päättäväinen/ratkaiseva","#adjective"
"English","decoct","Finnish","keitos/uute","#action"
"English","decoction","Finnish","keitos/uute","#noun"
"English","decorously","Finnish","säädyllisesti/arvokkaasti","#adverb"
"English","decoupage","Finnish","decoupage (koristeellinen tekniikka leikkaamalla ja liimaamalla kuvia)","#art #craft #artTechnique"
"English","decree","Finnish","asetus","#noun"
"English","defaming","Finnish","kavaltaminen/kavallus","#action"
"English","deferential","Finnish","kunnioittava","#adjective"
"English","deigned","Finnish","suopeutunut","#verb"
"English","deigned","Finnish","suostui/arveli sopivaksi/armon/suosiollisesti","#verb"
"English","demesne","Finnish","demesne (maanomistajan omistama maa-alue)","#noun"
"English","demimonde","Finnish","demimonde (sosiaalinen ryhmä, joka elää moraalisesti kyseenalaisella tavalla)","#noun"
"English","denizen","Finnish","asukas","#noun"
"English","dently","Finnish","(virheellinen muoto?) ehkä 'gently' = lempeästi","#adverb"
"English","deplorable","Finnish","surkea","#adjective"
"English","derelict","Finnish","hylätty","#adjective"
"English","desideratum","Finnish","toivottu asia","#noun"
"English","desirous to stress the chasm deviding us","Finnish","haluten korostaa meitä erottavaa kuilua","#phrase #adjective #separateness"
"English","desolate","Finnish","autio","#adjective"
"English","despairing","Finnish","toivoton","#adjective"
"English","despoil","Finnish","raukkoittaa/tuhoittaa","#action"
"English","despot","Finnish","hirmuhallitsija","#noun"
"English","devour","Finnish","ahmia/hotkia","#action"
"English","devout","Finnish","hurskas/harras/uskovainen/hengellinen","#adjective"
"English","dew","Finnish","kaste","#noun"
"English","dextrous","Finnish","kätevä tai taitava","#adjective"
"English","diadem","Finnish","diadeemi (kruunu)","#noun"
"English","diaphanous","Finnish","läpinäkyvä","#adjective"
"English","didn't bruit who I am","Finnish","ei levittänyt tietoa siitä kuka olen","#phrase #action #secrecy"
"English","dilettante","Finnish","dilettantti (harrastelija tai amatööri)","#noun"
"English","dint","Finnish","voima/vaikutus","#noun"
"English","dippers","Finnish","dippers","#noun"
"English","dirigible","Finnish","ilmapallo","#noun"
"English","discomfit","Finnish","hämmentää","#verb"
"English","disconsolate","Finnish","lohduton","#adjective"
"English","discreetly","Finnish","hienovaraisesti","#adverb"
"English","discretion","Finnish","harkinta/varovaisuus","#noun"
"English","disdain","Finnish","halveksunta","#noun"
"English","disheveled","Finnish","sotkuinen","#adjective"
"English","disinclined","Finnish","haluton/epähalukas/vastahakoinen","#adjective"
"English","dismal","Finnish","synkkä","#adjective"
"English","dispel","Finnish","halventaa","#verb"
"English","dispute","Finnish","riita/kiista","#noun"
"English","disseminated","Finnish","levitetty","#verb"
"English","dissipated","Finnish","hajonnut/rappeutunut/tuhlaileva (kontekstista)","#adjective"
"English","dissolute","Finnish","hajamielinen","#adjective"
"English","dissuade","Finnish","suostutella toisin","#verb"
"English","distaff side","Finnish","naisten puoli/äidin suku","#noun"
"English","distinct dip in the centre","Finnish","selvä kuoppa keskellä","#noun"
"English","distraught","Finnish","suunniltaan","#adjective"
"English","divine","Finnish","jumalallinen","#adjective"
"English","diviner","Finnish","ennustaja","#noun"
"English","docile","Finnish","helposti ohjattava/tottelevainen","#adjective"
"English","doffed","Finnish","riisuttu","#verb"
"English","doggedly","Finnish","itsepintaisesti","#adverb"
